onset	duration	trial_type
10.000	1.500	+fill0
16.000	1.500	+fill1
22.000	1.500	+fill2
28.000	1.500	control1
34.000	1.500	friend1
40.000	1.500	friend2
46.000	1.500	oddball3
47.200	0.100	motor
52.000	1.500	blank
58.000	1.500	control4
64.000	1.500	control2
70.000	1.500	friend3
76.000	1.500	friend4
82.000	1.500	control3
88.000	1.500	self
94.000	1.500	self
100.000	1.500	control1
106.000	1.500	friend2
112.000	1.500	friend1
118.000	1.500	blank
124.000	1.500	oddball2
125.500	0.100	motor
130.000	1.500	control3
136.000	1.500	friend4
142.000	1.500	friend3
148.000	1.500	control2
154.000	1.500	control4
160.000	1.500	control4
166.000	1.500	oddball4
167.500	0.100	motor
172.000	1.500	friend2
178.000	1.500	blank
184.000	1.500	friend1
190.000	1.500	control1
196.000	1.500	control2
202.000	1.500	friend4
208.000	1.500	self
214.000	1.500	friend3
220.000	1.500	control3
226.000	1.500	control3
232.000	1.500	oddball1
233.600	0.100	motor
238.000	1.500	control4
244.000	1.500	friend1
250.000	1.500	friend3
256.000	1.500	control1
262.000	1.500	blank
268.000	1.500	self
274.000	1.500	friend2
280.000	1.500	friend4
286.000	1.500	control2
292.000	1.500	+fill3
